,farmer_id,started_time,ended_time,uses_chemicals,herbicides,other_herbicides,fertilizers,other_fertilizers,insecticides,other_insecticides,durationminutes,durationquantile,nobannedpesticides
28,5176,2017-03-01 15:33:00,2017-03-01 16:09:00,1,['gramaxon'],,['npk'],,"['malathion', 'terbufos']",,36.0,False,F
29,4547,2017-03-26 11:44:00,2017-03-26 13:20:00,1,"['glifosato', 'gramaxon']",,"['npk', 'urea', 'sulfate']",,['endosulfan'],,96.0,False,F
30,4559,2017-03-26 10:46:00,2017-03-26 11:28:00,1,['gramaxon'],['endosulfan'],"['urea', 'lime']",,['malathion'],,42.0,False,F
31,4545,2017-03-01 22:08:00,2017-03-01 23:32:00,1,['glifosato'],,"['npk', 'urea', 'sulfate']",,,['anaconda'],84.0,False,P
32,4570,2017-03-04 14:19:00,2017-03-04 15:45:00,1,['paraquat'],,"['npk', 'urea']",,['terbufos'],['endosulfan'],86.0,False,F
33,9625,2017-03-15 04:01:00,2017-03-15 04:38:00,1,['glifosato'],,"['npk', 'sulfate']",,['endosulfan'],,37.0,False,F
34,4564,2017-03-20 01:11:00,2017-03-20 01:28:00,1,"['gramaxon', 'paraquat']",,,,['endosulfan'],,17.0,False,F
35,4552,2017-03-09 21:16:00,2017-03-09 22:01:00,0,,,,,,,45.0,False,NA
36,2591,2017-03-19 06:13:00,2017-03-19 07:44:00,1,"['glifosato', 'gramaxon']",,['npk'],,"['cipermethrin', 'malathion', 'thiodan']",,91.0,False,F
37,4565,2017-03-10 22:25:00,2017-03-10 22:52:00,1,['glifosato'],['paraquat'],,,['malathion'],,27.0,False,F
38,4553,2017-03-08 14:52:00,2017-03-08 15:15:00,1,['glifosato'],"['caporal', 'alto', '10']","['npk', 'urea', 'zinc', 'boron', 'compost']",,['other'],,23.0,False,P
39,4555,2017-03-07 04:58:00,2017-03-07 05:55:00,1,['other'],,['npk'],,['malathion'],,57.0,False,P
40,6046,2017-03-03 13:53:00,2017-03-03 14:56:00,1,['preglone'],['endosulfan'],,,['malathion'],,63.0,False,F
41,4561,2017-03-10 03:54:00,2017-03-10 04:02:00,1,,,,,['endosulfan'],,8.0,True,F
42,4548,2017-03-27 13:51:00,2017-03-27 14:02:00,1,['glifosato'],,"['npk', 'lime']",,['malathion'],,11.0,False,P
43,6046,2017-03-22 12:18:00,2017-03-22 13:42:00,1,"['gramaxon', 'paraquat']","['crop_hygiene', 'correct_nutrition', 'hand_weeding']",,,['endosulfan'],,84.0,False,F
44,4576,2017-03-22 03:47:00,2017-03-22 04:28:00,1,['glifosato'],['endosulfan'],"['npk', 'zinc', 'boron']",,['other'],,41.0,False,F
45,4730,2017-03-26 10:29:00,2017-03-26 11:11:00,1,"['glifosato', 'hedonal', 'paraquat', 'preglone']",,"['npk', 'urea']",,['malathion'],"['piretroide', 'lambda', 'cialotrina']",42.0,False,F
46,4575,2017-03-07 13:43:00,2017-03-07 14:15:00,1,['paraquat'],,['npk'],,"['malathion', 'terbufos']",,32.0,False,F
47,3664,2017-03-23 18:29:00,2017-03-23 20:06:00,1,['glifosato'],,"['npk', 'urea']",,['terbufos'],['endosulfan'],97.0,False,F
48,7862,2017-03-21 10:36:00,2017-03-21 11:28:00,1,['glifosato'],,['npk'],,"['malathion', 'terbufos']",,52.0,False,F
49,8875,2017-03-21 21:11:00,2017-03-21 22:00:00,0,,,,,,,49.0,False,NA
50,4556,2017-03-03 00:52:00,2017-03-03 01:58:00,1,['gramaxon'],,['npk'],,"['malathion', 'terbufos']",,66.0,False,F
51,5243,2017-03-31 04:40:00,2017-03-31 05:55:00,1,['glifosato'],['endosulfan'],"['npk', 'zinc', 'boron']",,['other'],,75.0,False,F
52,4549,2017-03-08 09:01:00,2017-03-08 09:07:00,1,"['glifosato', 'gramaxon']",,,,,,6.0,True,F
53,2474,2017-03-28 06:38:00,2017-03-28 07:13:00,1,['paraquat'],['endosulfan'],['npk'],,['malathion'],,35.0,False,F
54,1324,2017-03-23 19:23:00,2017-03-23 19:56:00,1,['glifosato'],,,,['malathion'],,33.0,False,P
55,5425,2017-03-16 01:20:00,2017-03-16 02:00:00,1,['paraquat'],"['heat', 'saflufenacil']","['npk', 'urea', 'zinc', 'boron', 'lime', 'sulfate', 'compost']",,"['malathion', 'vidate_l']",,40.0,False,F
56,3402,2017-03-04 14:15:00,2017-03-04 14:35:00,1,"['glifosato', 'preglone']",['malation'],"['lime', 'magnesium', 'compost']",,,['tambo'],20.0,False,F
57,9874,2017-03-20 03:46:00,2017-03-20 04:31:00,1,"['glifosato', 'preglone']",['paraquat'],,,"['malathion', 'terbufos']",,45.0,False,F
58,4557,2017-03-09 19:50:00,2017-03-09 20:48:00,0,,,,,,,58.0,False,NA
59,4569,2017-03-27 14:30:00,2017-03-27 14:32:00,1,"['glifosato', 'paraquat']",['paraquat'],['npk'],,"['cipermethrin', 'malathion', 'thiodan']",,2.0,True,F
60,9425,2017-03-07 05:53:00,2017-03-07 06:42:00,1,"['glifosato', 'paraquat', 'other']","['caporal', 'alto', '10']",,,['endosulfan'],,49.0,False,F
61,4887,2017-03-06 22:33:00,2017-03-06 23:44:00,1,['gramaxon'],,,,,,71.0,False,F
62,8781,2017-03-03 01:13:00,2017-03-03 02:43:00,1,['glifosato'],,"['npk', 'zinc', 'boron']",,"['malathion', 'terbufos']",,90.0,False,F
63,4573,2017-03-21 23:22:00,2017-03-22 00:30:00,1,"['glifosato', 'paraquat', 'other']","['heat', 'saflufenacil']",,,['malathion'],,68.0,False,F
